party,member_rank,politician,hebrew_name,reference_1_required,reference_2_optional,reference_3_optional,reference_rights_status,identity_details_not_to_get_wrong,pose_01,pose_02,pose_03,approved_for_weave
LIK,1,Benjamin Netanyahu,בנימין נתניהו,"https://commons.wikimedia.org/wiki/File:Benjamin_Netanyahu_October_22,_2024_(3x4_cropped).jpg",optional,optional,CC-BY-2.0; internal-reference-only; photograph-not-shipped,Use contemporary 2024 facial proportions and update visible aging from current appearances,direct gaze at lectern,three-quarter speaking gesture,seated with coalition document,yes
LIK,2,Israel Katz,ישראל כץ,https://commons.wikimedia.org/wiki/File:Israel_Katz_in_2024_(cropped).jpg,optional,optional,CC-BY-2.0; internal-reference-only; photograph-not-shipped,Preserve 2024 facial width hairline and age; source is three-quarter rather than frontal,direct gaze at port setting,three-quarter speaking gesture,standing with abstract trade-route plan,yes
LIK,3,Amir Ohana,אמיר אוחנה,https://commons.wikimedia.org/wiki/File:Amir_Ohana_-_Official.jpg,optional,optional,CC-BY-SA-3.0; internal-reference-only; photograph-not-shipped,Preserve official-portrait facial geometry; update grooming and aging from current appearances,direct gaze at Speaker lectern,three-quarter chamber gesture,standing before abstract plenum,yes
LIK,4,Yariv Levin,יריב לוין,https://commons.wikimedia.org/wiki/File:Yariv_Levin_1.jpg,optional,optional,CC-BY-SA-3.0; internal-reference-only; photograph-not-shipped,Reference is from 2020; preserve identity but update hairline facial fullness and aging,direct gaze between institutional planes,three-quarter speaking gesture,profile against abstract chamber,yes
DEM,1,Yair Golan,יאיר גולן,https://commons.wikimedia.org/wiki/File:Yair_Golan_2025.jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Use 2025 near-frontal likeness and current gray hair and facial structure,direct gaze abstract chamber,three-quarter speaking gesture,standing with agenda document,yes
DEM,2,Naama Lazimi,נעמה לזימי,https://commons.wikimedia.org/wiki/File:Naama_Lazimi_(lazimi).jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Official 2024 identity reference is low resolution; preserve face shape hair and age without inventing detail,direct gaze at lectern,three-quarter speaking gesture,seated at committee desk,yes
DEM,3,Gilad Kariv,גלעד קריב,https://commons.wikimedia.org/wiki/File:Gilad_Kariv_(NOAM8025).jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Reference is from 2023; preserve facial structure and update hairstyle facial hair and aging if changed,direct gaze parliamentary setting,three-quarter speaking gesture,standing with civic document,yes
DEM,4,Efrat Rayten,אפרת רייטן,https://commons.wikimedia.org/wiki/File:Efrat_Rayten_(cropped).jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Reference is professionally lit but from 2022; preserve proportions and update current hair and aging,direct gaze neutral civic setting,three-quarter speaking gesture,seated with inquiry files,yes
RAM,1,Mansour Abbas,מנסור עבאס,https://commons.wikimedia.org/wiki/File:Mansour_Abbas_2025.jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Use recent 2025 high-resolution facial identity and current grooming,direct gaze at lectern,three-quarter speaking gesture,seated at negotiation table,yes
RAM,2,Yoav Segalovitz,יואב סגלוביץ,https://commons.wikimedia.org/wiki/File:Yoav_Segalovich_(R_H_4069).jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Reference is from 2022; update current aging while preserving facial geometry,direct gaze parliamentary setting,three-quarter speaking gesture,standing with civic-services document,yes
RAM,3,Walid Taha,וליד טאהא,https://commons.wikimedia.org/wiki/File:Walid_Taha_(SHL_8811).jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Reference is from 2021; update current hair and aging while preserving identity,direct gaze committee setting,three-quarter speaking gesture,seated with municipal plans,yes
RAM,4,Walid al-Hawashla,וליד אלהואשלה,https://commons.wikimedia.org/wiki/File:Walid_al-Huashla_(R_H_3683).jpg,optional,optional,CC-BY-SA-4.0; internal-reference-only; photograph-not-shipped,Reference is from 2022; preserve face shape hair and current age,direct gaze Negev civic setting,three-quarter speaking gesture,seated at committee desk,yes
