card_id,party,kind,member_rank,subject_en,subject_he,rarity,exact_original_text,english_translation,speaker_or_document,date_or_version,source_url,context,editorial_role,status
LIK-S-01,LIK,symbol,,Likud ballot symbol,סמל הליכוד,Common,מחל,,Central Elections Committee,research-needed,research-needed,research-needed,orientation,research-needed
LIK-P-01,LIK,manifesto,,Manifest excerpt 1,,Common,"שמירת זכותו של העם היהודי על ארץ ישראל, כזכות נצחית שאינה ניתנת לערעור, התמדה ביישובם ובפיתוחם של כל חלקי ארץ-ישראל והחלת ריבונות המדינה עליהם.","Safeguarding the Jewish people's right to the Land of Israel as an eternal right that cannot be challenged; persisting in the settlement and development of every part of the Land of Israel; and applying state sovereignty over them.",Likud Constitution,2015-07-01,https://www.likud.org.il/על-הליכוד/חוקת-הליכוד,"Chapter B §1(b); no newer 2026 platform located",critical,verified-document
LIK-P-02,LIK,manifesto,,Manifest excerpt 2,,Uncommon,"ביצורה הכלכלי של המדינה ויצירת תנאים נאותים לצמיחה כלכלית ולכינון משק חופשי- תחרותי הנושא את עצמו והמבוסס על יוזמה חפשית, והימנעות הממשלה, ככל הניתן ממעורבות במשק.","Strengthening the state economically and creating conditions for a self-sustaining free and competitive economy based on private initiative, while government refrains as far as possible from intervention.",Likud Constitution,2015-07-01,https://www.likud.org.il/על-הליכוד/חוקת-הליכוד,"Chapter B §1(g); no newer 2026 platform located",critical,verified-document
LIK-M01-Q01,LIK,member-quote,1,Benjamin Netanyahu,בנימין נתניהו,Common,אמרתי לכם ואני חוזר ואומר לכם — לא יהיה כלום כי אין כלום.,"I told you, and I repeat: There will be nothing, because there is nothing.",Benjamin Netanyahu,2017-01-02,https://news.walla.co.il/item/3028022,Recorded Likud faction remarks before questioning over suspected gifts,critical,verified
LIK-M01-Q02,LIK,member-quote,1,Benjamin Netanyahu,בנימין נתניהו,Uncommon,שלטון הימין בסכנה. המצביעים הערבים נעים בכמויות אדירות לקלפי. עמותות השמאל מביאות אותם באוטובוסים.,"Right-wing rule is in danger. Arab voters are moving to the polling station in enormous numbers. Left-wing NGOs are bringing them in buses.",Benjamin Netanyahu,2015-03-17,https://www.youtube.com/watch?v=Q2cUoglR1yk,Election-day Likud mobilization video; later apology/context must ship with quote,critical,verified
LIK-M01-Q03,LIK,member-quote,1,Benjamin Netanyahu,בנימין נתניהו,Rare,"מי שרוצה לסכל הקמה של מדינה פלסטינית צריך לתמוך בחיזוק החמאס ובהעברת כסף לחמאס. זה חלק מהאסטרטגיה שלנו – לבדל בין הפלסטינים בעזה לבין הפלסטינים ביהודה ושומרון.","Anyone who wants to thwart a Palestinian state should support strengthening Hamas and transferring money to Hamas. This is part of our strategy—to separate Palestinians in Gaza from Palestinians in the West Bank.",Benjamin Netanyahu,2019-03-11,https://lahav.substack.com/p/i-reported-on-netanyahu-green-lighting,"* Attributed policy position reported from a Likud faction meeting; participant-supplied paraphrase with no recording or verbatim transcript",critical,adapted-asterisk
LIK-M02-Q01,LIK,member-quote,2,Israel Katz,ישראל כץ,Common,בעניין הנמלים - כן.,When it comes to ports—yes.,Israel Katz,2020-11-12,"https://www.calcalist.co.il/local/articles/0,7340,L-3871373,00.html",Reply to whether he was greater than Herod limited specifically to ports,critical,verified
LIK-M02-Q02,LIK,member-quote,2,Israel Katz,ישראל כץ,Uncommon,"אני הצלחתי, ע״י בניית שני נמלים חדשים בחיפה ואשדוד ושדרוג הקיימים עם שני מפעילים בין לאומיים ענקיים ושלישי בדרך והכנסת תחרות שתהפוך את ישראל למוקד אזורי ובין לאומי של פעילות ימית.","I succeeded by building two new ports and upgrading the existing ones, introducing competition that will turn Israel into a regional and international maritime hub.",Israel Katz,2020-11-12,https://www.ynet.co.il/economy/article/S13Xw005YP,Facebook reply; part of the claim is explicitly future-tense,critical,verified
LIK-M02-Q03,LIK,member-quote,2,Israel Katz,ישראל כץ,Rare,"אני פעמיים לקחתי אותה לתפקידים בחופשת לידה, צריך להבין שיש פה השקפת עולם מבחינתי - אני לא מוכן שבניית משפחה תעכב נשים מלעשות קריירה בכירה.","Twice, I brought her into positions while she was on maternity leave. I am not prepared for building a family to hold women back from senior careers.",Israel Katz,2021-01-21,https://www.ynet.co.il/economy/article/ry300c3Uk00,"Recorded interview; 'her' is former director-general Keren Turner-Eyal",critical,verified
LIK-M03-Q01,LIK,member-quote,3,Amir Ohana,אמיר אוחנה,Common,"לא כל פסיקה צריך לבצע, כמו שלא כל חוק צריך לבצע.","Not every ruling has to be carried out, just as not every law has to be carried out.",Amir Ohana,2019-06-12,https://www.mako.co.il/news-law/legal-q2_2019/Article-65a73c995ac4b61027.htm,Earlier Kan Bet formulation revisited in a recorded N12 interview; later clarification must ship,critical,context-review
